"DOI","Authors","Title","Source","Year","TotalCitation","TCperYear","NTC","SR","students","human","regression analysis","compressive strength","Assigned_cluster","pagerank"
"10.1016/j.enpol.2016.02.053","ARDUINO F;SANTARELLI M","TOTAL COST OF OWNERSHIP OF CHP SOFC SYSTEMS: EFFECT OF INSTALLATION CONTEXT","ENERGY POLICY","2016","3","0.333","0.155","ARDUINO F, 2016, ENERGY POLICY","0.000","0.417","0.583","0.000","regression analysis","0.011"
"10.1016/j.ijpe.2009.08.003","SINGH S;MCALLISTER CD;RINKS D;JIANG X","IMPLICATION OF RISK ADJUSTED DISCOUNT RATES ON CYCLE STOCK AND SAFETY STOCK IN A MULTI-PERIOD INVENTORY MODEL","INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","2010","3","0.200","0.117","SINGH S, 2010, INT J PROD ECON","0.167","0.000","0.833","0.000","regression analysis","0.011"
"10.1016/j.jenvman.2022.116776","GUO X;NI N;SHI M;ZHANG X;YUAN Q;WANG N;ZHANG S;LUO Y","THE PERSISTENT, BIOACCUMULATIVE, TOXIC, AND RESISTANCE (PBTR) RISK ASSESSMENT FRAMEWORK OF ANTIBIOTICS IN THE DRINKING WATER SOURCES","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2023","2","1.000","1.333","GUO X, 2023, J ENVIRON MANAGE","0.000","0.022","0.978","0.000","regression analysis","0.065"
"10.1093/bioinformatics/btab848","HE H;GUO X;YU J;AI C;SHI S","OVERCOMING THE INADAPTABILITY OF SPARSE GROUP LASSO FOR DATA WITH VARIOUS GROUP STRUCTURES BY STACKING","BIOINFORMATICS","2022","2","0.667","1.587","HE H, 2022, BIOINFORMATICS","0.000","0.113","0.887","0.000","regression analysis","0.060"
"10.1002/sim.7315","LU T","BAYESIAN INFERENCE ON MIXED-EFFECTS LOCATION SCALE MODELS WITH SKEW-T DISTRIBUTION AND MISMEASURED COVARIATES FOR LONGITUDINAL DATA","STATISTICS IN MEDICINE","2017","2","0.250","0.109","LU T, 2017, STAT MED","0.198","0.209","0.593","0.000","regression analysis","0.132"
"10.1177/0891242413478650","WANG Y","HOW ICT PENETRATION INFLUENCES PRODUCTIVITY GROWTH: EVIDENCE FROM 17 OECD COUNTRIES","ECONOMIC DEVELOPMENT QUARTERLY","2015","2","0.200","0.072","WANG Y, 2015, ECON DEV Q","0.429","0.000","0.571","0.000","regression analysis","0.008"
"10.1111/rode.12136","GUMUS I","FISCAL UNCERTAINTY AND CURRENCY CRISES","REVIEW OF DEVELOPMENT ECONOMICS","2016","2","0.222","0.103","GUMUS I, 2016, REV DEV ECON","0.000","0.000","1.000","0.000","regression analysis","0.004"
"10.1155/2022/2865959","YU T;HUO Y","COMPLEXITY ANALYSIS OF CONSUMER FINANCE FOLLOWING COMPUTER LIGHTGBM ALGORITHM UNDER INDUSTRIAL ECONOMY","MOBILE INFORMATION SYSTEMS","2022","1","0.333","0.794","YU T, 2022, MOB INF SYS","0.432","0.000","0.568","0.000","regression analysis","0.036"
"10.1155/2022/2446779","WANG J","FACTOR ANALYSIS FOR FINANCIAL PERFORMANCE EVALUATION OF LISTED CHINESE MEDICINE COMPANIES","MOBILE INFORMATION SYSTEMS","2022","1","0.333","0.794","WANG J, 2022, MOB INF SYS-a","0.000","0.000","1.000","0.000","regression analysis","0.001"
"10.1155/2022/4790726","LU H;WANG L","RISK ANALYSIS OF ENTERPRISES' INVESTMENT IN INFRASTRUCTURE IN DEVELOPING COUNTRIES BASED ON STRUCTURAL EQUATION MODEL","MOBILE INFORMATION SYSTEMS","2022","1","0.333","0.794","LU H, 2022, MOB INF SYS","0.328","0.000","0.672","0.000","regression analysis","0.017"
"10.1155/2022/4064821","YAN J;LI Z","THE INTEGRATED DEVELOPMENT OF TOURISM AND CULTURAL AND CREATIVE INDUSTRIES BASED ON SMART CITY CLOUD SERVICE INFORMATION SYSTEM","MOBILE INFORMATION SYSTEMS","2022","1","0.333","0.794","YAN J, 2022, MOB INF SYS","0.000","0.000","1.000","0.000","regression analysis","0.003"
"10.1155/2022/1513129","CHEN Y;ZHANG M;HYNG B;WANG R","SURF ALGORITHM-BASED DATA AGGREGATION METHOD AND DIGITAL SHARING ECONOMY","MOBILE INFORMATION SYSTEMS","2022","1","0.333","0.794","CHEN Y, 2022, MOB INF SYS-a","0.267","0.000","0.733","0.000","regression analysis","0.007"
"10.1007/s11067-017-9373-y","MARKOVIĆ D","APPRAISAL OF SCIENCE AND ECONOMIC FACTORS ON TOTAL NUMBER OF GRANTED PATENTS","NETWORKS AND SPATIAL ECONOMICS","2018","1","0.143","0.033","MARKOVIĆ D, 2018, NETW SPAT ECON","0.052","0.000","0.948","0.000","regression analysis","0.038"
"10.1080/13504851.2011.597719","ROSOI GN","FINANCIAL INTEGRATION AND INTERNATIONAL TRANSMISSION OF BUSINESS CYCLES: EVIDENCE FROM DYNAMIC CORRELATIONS","APPLIED ECONOMICS LETTERS","2012","1","0.077","0.037","ROSOI GN, 2012, APPL ECON LETT","0.000","0.000","1.000","0.000","regression analysis","0.002"
"10.1016/j.asoc.2010.06.001","LIN L-Z;HSU T-H;HUANG L-C","APPLICATION OF FUZZY MEASURES IN THE PRODUCT APPEARANCE VALUE ASSESSMENT","APPLIED SOFT COMPUTING JOURNAL","2011","1","0.071","0.025","LIN L-Z, 2011, APPL SOFT COMPUT J","0.000","0.000","1.000","0.000","regression analysis","0.002"
"10.1155/2022/7342275","WANG M","DESIGN AND RESEARCH OF COLLEGE ENGLISH READING, WRITING, AND TRANSLATION TEACHING CLASSROOM BASED ON 5G TECHNOLOGY","MOBILE INFORMATION SYSTEMS","2022","0","0.000","0.000","WANG M, 2022, MOB INF SYS","0.432","0.000","0.568","0.000","regression analysis","0.019"
"10.1155/2022/2168655","FAN X","LIBRARY DOCUMENT RESOURCE CONSTRUCTION AND DATA SHARING BASED ON SEMANTIC WEB TECHNOLOGY","MOBILE INFORMATION SYSTEMS","2022","0","0.000","0.000","FAN X, 2022, MOB INF SYS","0.238","0.000","0.762","0.000","regression analysis","0.011"
"10.1155/2022/2573407","WANG L-W;CHU F-L;CHANG C-H","THE COMPREHENSIVE EVALUATION MODEL OF BUSINESS PERFORMANCE BASED ON ARTIFICIAL NEURAL NETWORK","MOBILE INFORMATION SYSTEMS","2022","0","0.000","0.000","WANG L-W, 2022, MOB INF SYS","0.000","0.000","1.000","0.000","regression analysis","0.012"
"10.1155/2022/5039644","CHEN J;ZHENG W;SHAN T","DYNAMIC FIRE MONITORING ANALYSIS AND RISK ASSESSMENT BASED ON MULTISOURCE SATELLITE REMOTE SENSING","MOBILE INFORMATION SYSTEMS","2022","0","0.000","0.000","CHEN J, 2022, MOB INF SYS-a","0.000","0.000","1.000","0.000","regression analysis","0.005"
"10.1155/2022/8373164","ZHENG Y;SUN C","CONSTRUCTION SCHEME OF QUANTITATIVE ASSESSMENT OF COLLEGE TEACHERS' PERFORMANCE BASED ON BIG DATA ANALYSIS","MOBILE INFORMATION SYSTEMS","2022","0","0.000","0.000","ZHENG Y, 2022, MOB INF SYS","0.255","0.000","0.745","0.000","regression analysis","0.026"
"10.1155/2022/7157775","LI L","THE PROMOTION OF RURAL LODGING DEVELOPMENT BY A COMPREHENSIVE EVALUATION MODEL OF ARTIFICIAL INTELLIGENCE BASED ON WIRELESS NETWORK","MOBILE INFORMATION SYSTEMS","2022","0","0.000","0.000","LI L, 2022, MOB INF SYS-a","0.417","0.083","0.500","0.000","regression analysis","0.028"
"10.1155/2022/6155568","LIU L","THE OPTIMIZATION DESIGN OF THE ACCURATE COMMUNITY NAVIGATION MAP FOR THE TERMINAL DISTRIBUTION TO PROMOTE THE DEVELOPMENT OF E-COMMERCE NEW RETAIL","JOURNAL OF ADVANCED TRANSPORTATION","2022","0","0.000","0.000","LIU L, 2022, J ADV TRANSP","0.390","0.000","0.610","0.000","regression analysis","0.015"
"10.1155/2022/4747149","RAO Y;FENG C","ANALYSIS OF REAL-TIME EARLY WARNING ALGORITHM OF ENVIRONMENTAL RISK OF AIR POLLUTANTS BASED ON COMPUTER SIMULATION TECHNOLOGY","MOBILE INFORMATION SYSTEMS","2022","0","0.000","0.000","RAO Y, 2022, MOB INF SYS","0.379","0.000","0.621","0.000","regression analysis","0.015"
"10.1155/2022/6436112","WEN Y","THE MACROREFORM OF THE ELECTRONICS MANUFACTURING INDUSTRY UNDER THE INDUSTRY 4.0 WAVE BASED ON FINANCIAL PERFORMANCE INDICATORS","MOBILE INFORMATION SYSTEMS","2022","0","0.000","0.000","WEN Y, 2022, MOB INF SYS","0.000","0.000","1.000","0.000","regression analysis","0.003"
"10.1016/j.enpol.2016.04.036","AHMAD T","A COMPARISON STUDY ON THE INTEGRATED RISK ESTIMATION FOR VARIOUS POWER SYSTEMS","ENERGY POLICY","2016","0","0.000","0.000","AHMAD T, 2016, ENERGY POLICY","0.000","0.101","0.899","0.000","regression analysis","0.026"
"10.1080/09720502.2008.10700591","HADI-VENCHEH A;TAVASSOLI-KAJANI M","FAIR DISTRIBUTION OF A COMMON REVENUE","JOURNAL OF INTERDISCIPLINARY MATHEMATICS","2008","0","0.000","0.000","HADI-VENCHEH A, 2008, J INTERDISCIP MATH","0.294","0.000","0.706","0.000","regression analysis","0.008"
"10.1016/S0925-5273(02)00107-X","LAU AH-L;LAU H-S","A COMPARISON OF DIFFERENT METHODS FOR ESTIMATING THE AVERAGE INVENTORY LEVEL IN A (Q,R) SYSTEM WITH BACKORDERS","INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","2002","0","0.000","0.000","LAU AH-L, 2002, INT J PROD ECON","0.000","0.333","0.667","0.000","regression analysis","0.004"
"10.1007/s10845-016-1217-y","TOGHROLI A;SUHATRIL M;IBRAHIM Z;SAFA M;SHARIATI M;SHAMSHIRBAND S","POTENTIAL OF SOFT COMPUTING APPROACH FOR EVALUATING THE FACTORS AFFECTING THE CAPACITY OF STEEL–CONCRETE COMPOSITE BEAM","JOURNAL OF INTELLIGENT MANUFACTURING","2018","185","26.429","6.131","TOGHROLI A, 2018, J INTELL MANUF","0.749","0.000","0.251","0.000","students","0.026"
"10.1016/j.eswa.2011.04.025","ABBASPOUR RA;SAMADZADEGAN F","TIME-DEPENDENT PERSONAL TOUR PLANNING AND SCHEDULING IN METROPOLISES","EXPERT SYSTEMS WITH APPLICATIONS","2011","113","8.071","2.779","ABBASPOUR RA, 2011, EXPERT SYS APPL","1.000","0.000","0.000","0.000","students","0.004"
"10.1016/j.eswa.2011.02.140","SARANGI A;MAHAPATRA RK;PANIGRAHI SP","DEPSO AND PSO-QI IN DIGITAL FILTER DESIGN","EXPERT SYSTEMS WITH APPLICATIONS","2011","50","3.571","1.230","SARANGI A, 2011, EXPERT SYS APPL","1.000","0.000","0.000","0.000","students","0.004"
"10.1016/j.eswa.2008.12.011","KAYA I","A GENETIC ALGORITHM APPROACH TO DETERMINE THE SAMPLE SIZE FOR CONTROL CHARTS WITH VARIABLES AND ATTRIBUTES","EXPERT SYSTEMS WITH APPLICATIONS","2009","34","2.125","0.665","KAYA I, 2009, EXPERT SYS APPL","0.554","0.446","0.000","0.000","students","0.017"
"10.1016/j.ijhcs.2007.01.001","SONG S;LEE J","KEY FACTORS OF HEURISTIC EVALUATION FOR GAME DESIGN: TOWARDS MASSIVELY MULTI-PLAYER ONLINE ROLE-PLAYING GAME","INTERNATIONAL JOURNAL OF HUMAN COMPUTER STUDIES","2007","33","1.833","1.061","SONG S, 2007, INT J HUM COMPUT STUD","0.636","0.364","0.000","0.000","students","0.004"
"10.1007/s10845-020-01610-0","GUPTA N;GUPTA S;KHOSRAVY M;DEY N;JOSHI N;CRESPO RG;PATEL N","ECONOMIC IOT STRATEGY: THE FUTURE TECHNOLOGY FOR HEALTH MONITORING AND DIAGNOSTIC OF AGRICULTURE VEHICLES","JOURNAL OF INTELLIGENT MANUFACTURING","2021","26","6.500","4.611","GUPTA N, 2021, J INTELL MANUF","1.000","0.000","0.000","0.000","students","0.024"
"10.1155/2022/1947886","ELMOIZ ALATABANI L;SAYED ALI E;MOKHTAR RA;SAEED RA;ALHUMYANI H;KAMRUL HASAN M","DEEP AND REINFORCEMENT LEARNING TECHNOLOGIES ON INTERNET OF VEHICLE (IOV) APPLICATIONS: CURRENT ISSUES AND FUTURE TRENDS","JOURNAL OF ADVANCED TRANSPORTATION","2022","23","7.667","18.252","ELMOIZ ALATABANI L, 2022, J ADV TRANSP","1.000","0.000","0.000","0.000","students","0.025"
"10.1007/s12239-016-0001-5","ROY S;DAS AK;BANERJEE R","GREY-FUZZY TAGUCHI APPROACH FOR MULTI-OBJECTIVE OPTIMIZATION OF PERFORMANCE AND EMISSION PARAMETERS OF A SINGLE CYLINDER CRDI ENGINE COUPLED WITH EGR","INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY","2016","22","2.444","1.137","ROY S, 2016, INT J AUTOMOT TECHNOL","0.714","0.286","0.000","0.000","students","0.020"
"10.1016/j.jmsy.2018.05.004","YUAN N;YANG W;KANG B;XU S;LI C","SIGNAL FUSION-BASED DEEP FAST RANDOM FOREST METHOD FOR MACHINE HEALTH ASSESSMENT","JOURNAL OF MANUFACTURING SYSTEMS","2018","18","2.571","0.597","YUAN N, 2018, J MANUF SYST","1.000","0.000","0.000","0.000","students","0.020"
"10.1016/j.dss.2012.10.026","CAO Q;THOMPSON MA;YU Y","SENTIMENT ANALYSIS IN DECISION SCIENCES RESEARCH: AN ILLUSTRATION TO IT GOVERNANCE","DECISION SUPPORT SYSTEMS","2013","17","1.417","0.394","CAO Q, 2013, DECIS SUPPORT SYST","1.000","0.000","0.000","0.000","students","0.002"
"10.1111/j.1467-8535.2009.01033.x","CAVUS N","THE APPLICATION OF A MULTI-ATTRIBUTE DECISION-MAKING ALGORITHM TO LEARNING MANAGEMENT SYSTEMS EVALUATION","BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY","2011","17","1.214","0.418","CAVUS N, 2011, BR J EDUC TECHNOL","0.960","0.040","0.000","0.000","students","0.042"
"10.1080/00401706.2015.1115674","PRATOLA MT;HARARI O;BINGHAM D;FLOWERS GE","DESIGN AND ANALYSIS OF EXPERIMENTS ON NONCONVEX REGIONS","TECHNOMETRICS","2017","15","1.875","0.815","PRATOLA MT, 2017, TECHNOMETRICS","1.000","0.000","0.000","0.000","students","0.004"
"10.1016/j.jengtecman.2011.10.001","LICHTENTHALER U;MUETHEL M","THE ROLE OF DELIBERATE AND EXPERIENTIAL LEARNING IN DEVELOPING CAPABILITIES: INSIGHTS FROM TECHNOLOGY LICENSING","JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT - JET-M","2012","15","1.154","0.548","LICHTENTHALER U, 2012, J ENG TECHNOL MANAGE JET M","1.000","0.000","0.000","0.000","students","0.003"
"10.1155/2022/9189600","KHALIFA OO;WAJDI MH;SAEED RA;HASHIM AHA;AHMED MZ;ALI ES","VEHICLE DETECTION FOR VISION-BASED INTELLIGENT TRANSPORTATION SYSTEMS USING CONVOLUTIONAL NEURAL NETWORK ALGORITHM","JOURNAL OF ADVANCED TRANSPORTATION","2022","13","4.333","10.317","KHALIFA OO, 2022, J ADV TRANSP","0.849","0.000","0.151","0.000","students","0.026"
"10.1016/j.asoc.2019.105597","YANG F;XIE H;LI H","VIDEO ASSOCIATED CROSS-MODAL RECOMMENDATION ALGORITHM BASED ON DEEP LEARNING","APPLIED SOFT COMPUTING","2019","13","2.167","0.727","YANG F, 2019, APPL SOFT COMPUT","1.000","0.000","0.000","0.000","students","0.018"
"10.1007/s10845-011-0556-y","KHALGUI M;MOSBAHI O;HANISCH H-M;LI Z","A MULTI-AGENT ARCHITECTURAL SOLUTION FOR COHERENT DISTRIBUTED RECONFIGURATIONS OF FUNCTION BLOCKS","JOURNAL OF INTELLIGENT MANUFACTURING","2012","11","0.846","0.402","KHALGUI M, 2012, J INTELL MANUF","0.759","0.000","0.241","0.000","students","0.009"
"10.1016/j.dss.2015.11.001","ASSEMI B;SCHLAGWEIN D","PROVIDER FEEDBACK INFORMATION AND CUSTOMER CHOICE DECISIONS ON CROWDSOURCING MARKETPLACES: EVIDENCE FROM TWO DISCRETE CHOICE EXPERIMENTS","DECISION SUPPORT SYSTEMS","2016","9","1.000","0.465","ASSEMI B, 2016, DECIS SUPPORT SYST","0.553","0.055","0.392","0.000","students","0.029"
"10.1111/j.1467-8535.2011.01182.x","LIANG JS","LEARNING IN TROUBLESHOOTING OF AUTOMOTIVE BRAKING SYSTEM: A PROJECT-BASED TEAMWORK APPROACH","BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY","2012","7","0.538","0.256","LIANG JS, 2012, BR J EDUC TECHNOL","1.000","0.000","0.000","0.000","students","0.055"
"10.1093/bioinformatics/btac218","ELKAYAM S;ORENSTEIN Y","DEEPCRISTL: DEEP TRANSFER LEARNING TO PREDICT CRISPR/CAS9 FUNCTIONAL AND ENDOGENOUS ON-TARGET EDITING EFFICIENCY","BIOINFORMATICS","2022","6","2.000","4.761","ELKAYAM S, 2022, BIOINFORMATICS","1.000","0.000","0.000","0.000","students","0.016"
"10.1016/j.ipm.2019.102146","LI S","DEEP ADVERSARIAL MODEL FOR MUSCULOSKELETAL QUALITY EVALUATION","INFORMATION PROCESSING AND MANAGEMENT","2020","6","1.200","0.359","LI S, 2020, INF PROCESS MANAGE","1.000","0.000","0.000","0.000","students","0.036"
"10.1080/09511920801911019","LIANG JS","DEVELOPMENT FOR A WEB-BASED EDM LABORATORY IN MANUFACTURING ENGINEERING","INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","2009","6","0.375","0.117","LIANG JS, 2009, INT J COMPUTER INTEGR MANUF","0.692","0.000","0.308","0.000","students","0.036"
"10.1080/0951192X.2010.490276","LIANG JS","A WEB-BASED COLLABORATIVE DESIGN ARCHITECTURE FOR DEVELOPING IMMERSIVE VR DRIVING PLATFORM","INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","2010","5","0.333","0.195","LIANG JS, 2010, INT J COMPUTER INTEGR MANUF","1.000","0.000","0.000","0.000","students","0.005"
"10.1155/2022/9116121","ZHAO S;LI C;TIAN M;ZHANG H;XIAO Z;HU R","LARGE-SCALE SCHEDULING MODEL BASED ON IMPROVED ANT COLONY ALGORITHM","MOBILE INFORMATION SYSTEMS","2022","4","1.333","3.174","ZHAO S, 2022, MOB INF SYS","0.907","0.000","0.093","0.000","students","0.028"
"10.1155/2022/5696334","DI X;LI L","IMAGE DEFECT RECOGNITION METHOD BASED ON DEEP LEARNING NETWORK","MOBILE INFORMATION SYSTEMS","2022","4","1.333","3.174","DI X, 2022, MOB INF SYS","1.000","0.000","0.000","0.000","students","0.007"
"10.1007/s00779-021-01634-0","DAI X;MA T","IOT PERCEPTION AND PUBLIC TRANSPORTATION NETWORK OPTIMIZATION BASED ON BIG DATA ALGORITHMS","PERSONAL AND UBIQUITOUS COMPUTING","2021","4","1.000","0.709","DAI X, 2021, PERS UBIQUITOUS COMP","1.000","0.000","0.000","0.000","students","0.074"
"10.1080/01436597.2013.786294","FRIDELL G","POLITICISING DEBT AND DEVELOPMENT: ACTIVIST VOICES ON SOCIAL JUSTICE IN THE NEW MILLENNIUM","THIRD WORLD QUARTERLY","2013","4","0.333","0.093","FRIDELL G, 2013, THIRD WORLD Q","1.000","0.000","0.000","0.000","students","0.004"
"10.1155/2022/3200695","CHEN R","THE DESIGN AND APPLICATION OF COLLEGE ENGLISH-AIDED TEACHING SYSTEM BASED ON WEB","MOBILE INFORMATION SYSTEMS","2022","3","1.000","2.381","CHEN R, 2022, MOB INF SYS","0.975","0.025","0.000","0.000","students","0.068"
"10.1155/2022/9513433","LIU X","EVALUATION OF THE ACCURACY OF ARTIFICIAL INTELLIGENCE TRANSLATION BASED ON DEEP LEARNING","MOBILE INFORMATION SYSTEMS","2022","3","1.000","2.381","LIU X, 2022, MOB INF SYS-a","1.000","0.000","0.000","0.000","students","0.031"
"10.1155/2021/8378274","XIAO Z;SHI J;TAN R;SHEN J","PREDICTION ALGORITHM OF COLLABORATIVE INNOVATION CAPABILITY OF HIGH-END EQUIPMENT MANUFACTURING ENTERPRISES BASED ON RANDOM FOREST","MOBILE INFORMATION SYSTEMS","2021","3","0.750","0.532","XIAO Z, 2021, MOB INF SYS","0.613","0.000","0.387","0.000","students","0.022"
"10.1007/s00779-021-01622-4","ZHOU Q;ZHANG M;KI-HYUNG B","RETRACTED ARTICLE: EDGE COMPUTING AND FINANCIAL SERVICE INDUSTRY FINANCING RISK INNOVATION BASED ON DATA MINING TECHNOLOGY","PERSONAL AND UBIQUITOUS COMPUTING","2021","3","0.750","0.532","ZHOU Q, 2021, PERS UBIQUITOUS COMP","1.000","0.000","0.000","0.000","students","0.008"
"10.1016/j.chb.2014.03.008","QIAN Z;ZHANG D-J","THE EFFECTS OF VIEWING VIOLENT MOVIE VIA COMPUTER ON AGGRESSIVENESS AMONG COLLEGE STUDENTS","COMPUTERS IN HUMAN BEHAVIOR","2014","3","0.273","0.147","QIAN Z, 2014, COMPUT HUM BEHAV","1.000","0.000","0.000","0.000","students","0.022"
"10.1155/2022/7417406","LI X","THE PRACTICAL DILEMMA AND PATH OPTIMIZATION OF BIG DATA INTEGRATION INTO IDEOLOGICAL AND POLITICAL TEACHING IN PRIVATE COLLEGES AND UNIVERSITIES","MOBILE INFORMATION SYSTEMS","2022","2","0.667","1.587","LI X, 2022, MOB INF SYS","1.000","0.000","0.000","0.000","students","0.053"
"10.1155/2022/3322324","LI X;LIANG C","THE IMPACT OF ENVIRONMENTAL REGULATION ON CHINA'S OFDI: FROM THE PERSPECTIVE OF HOME COUNTRY","MOBILE INFORMATION SYSTEMS","2022","2","0.667","1.587","LI X, 2022, MOB INF SYS-a","0.647","0.353","0.000","0.000","students","0.016"
"10.1016/j.ijmedinf.2021.104666","CHOO D;DUSHYANTHEN S;GRAY K;CAPURRO D;MEROLLI M;CHAPMAN BE;PIRES D;HART GK;HUCKVALE K;CHAPMAN WW;LYONS K","DESIGNING A PROFESSIONAL DEVELOPMENT ONLINE SHORT COURSE TO FOSTER LEARNING HEALTHCARE SYSTEMS","INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS","2022","2","0.667","1.587","CHOO D, 2022, INT J MED INFORMATICS","0.674","0.326","0.000","0.000","students","0.098"
"10.1155/2022/1032081","WANG J;HU X","SCIENTIFIC RESEARCH MANAGEMENT HELPING THE DEVELOPMENT OF REGIONAL CULTURAL INDUSTRY FROM THE PERSPECTIVE OF ARTIFICIAL INTELLIGENCE","MOBILE INFORMATION SYSTEMS","2022","2","0.667","1.587","WANG J, 2022, MOB INF SYS","1.000","0.000","0.000","0.000","students","0.008"
"10.1155/2022/9686725","ZHAO Y;LIU S","A DEEP LEARNING MODEL WITH VIRTUAL REALITY TECHNOLOGY FOR SECOND LANGUAGE ACQUISITION","MOBILE INFORMATION SYSTEMS","2022","2","0.667","1.587","ZHAO Y, 2022, MOB INF SYS","1.000","0.000","0.000","0.000","students","0.022"
"10.1155/2022/4025875","ZHOU S;YANG X;LIAO Z","A STUDY OF INDUSTRIAL CONVERGENCE IN THE CONTEXT OF DIGITAL ECONOMY BASED ON SCIENTIFIC COMPUTING VISUALIZATION","MOBILE INFORMATION SYSTEMS","2022","2","0.667","1.587","ZHOU S, 2022, MOB INF SYS","1.000","0.000","0.000","0.000","students","0.035"
"10.1155/2022/1590779","LIU X;BAI G","RESEARCH ON INTELLIGENT ALGORITHM OF THE AC MOTOR SPEED REGULATION SYSTEM BASED ON THE NEURAL NETWORK","MOBILE INFORMATION SYSTEMS","2022","2","0.667","1.587","LIU X, 2022, MOB INF SYS","0.550","0.000","0.450","0.000","students","0.012"
"10.1155/2022/2238233","WANG X","THE IMPACT OF IOT ON NEWS MEDIA IN THE SMART AGE","MOBILE INFORMATION SYSTEMS","2022","2","0.667","1.587","WANG X, 2022, MOB INF SYS","1.000","0.000","0.000","0.000","students","0.007"
"10.1155/2022/5371471","WANG L;GUAN S;DENG W;LU P","ERP SYSTEM DESIGN FOR HYDROGEN EQUIPMENT MANUFACTURING INDUSTRY BASED ON LOW CODE TECHNOLOGY","MOBILE INFORMATION SYSTEMS","2022","2","0.667","1.587","WANG L, 2022, MOB INF SYS-a","0.744","0.000","0.256","0.000","students","0.026"
"10.1155/2022/7609697","CUI Y","MODELING OF IDEOLOGICAL AND POLITICAL EDUCATION SYSTEM IN COLLEGES AND UNIVERSITIES BASED ON NAIVE BAYES-BP NEURAL NETWORK IN THE ERA OF BIG DATA","MOBILE INFORMATION SYSTEMS","2022","2","0.667","1.587","CUI Y, 2022, MOB INF SYS","0.816","0.000","0.184","0.000","students","0.045"
"10.1007/s00779-021-01623-3","ZHAO L","RETRACTED ARTICLE: APPLICATION OF HETEROGENEOUS EXECUTION BODY SCHEDULING AND VR TECHNOLOGY FOR MIMIC CLOUD SERVICES IN URBAN LANDSCAPE DESIGN (PERSONAL AND UBIQUITOUS COMPUTING, (2021), 25, (21), 10.1007/S00779-021-01656-8)","PERSONAL AND UBIQUITOUS COMPUTING","2021","2","0.500","0.355","ZHAO L, 2021, PERS UBIQUITOUS COMP","1.000","0.000","0.000","0.000","students","0.007"
"10.1007/s00779-021-01635-z","SONG S;YAO L","RETRACTED ARTICLE: RESEARCH ON MULTI-OBJECTIVE OPTIMAL IMAGE RECOGNITION AND AEROBICS TEACHING SYSTEM BASED ON FOOTPRINT IMAGE","PERSONAL AND UBIQUITOUS COMPUTING","2021","2","0.500","0.355","SONG S, 2021, PERS UBIQUITOUS COMP","1.000","0.000","0.000","0.000","students","0.006"
"10.1007/s00779-021-01632-2","ZHAO Y","RETRACTED ARTICLE: DATA ENCRYPTION SYSTEM FOR 5G CLOUD STORAGE AND BIG DATA FITNESS ENERGY METABOLISM DETECTION","PERSONAL AND UBIQUITOUS COMPUTING","2021","2","0.500","0.355","ZHAO Y, 2021, PERS UBIQUITOUS COMP","1.000","0.000","0.000","0.000","students","0.005"
"10.1016/j.asoc.2016.05.041","TENCER L;REZNAKOVA M;CHERIET M","RETRACTED:UFUZZY: FUZZY MODELS WITH UNIVERSUM","APPLIED SOFT COMPUTING JOURNAL","2017","2","0.250","0.109","TENCER L, 2017, APPL SOFT COMPUT J","1.000","0.000","0.000","0.000","students","0.002"
"10.1155/2019/2723686","ZENG M;CHENG Z;HUANG X;ZHENG B;LUTHER W","SPATIAL CROWDSOURCING QUALITY CONTROL MODEL BASED ON K-ANONYMITY LOCATION PRIVACY PROTECTION AND ELM SPAMMER DETECTION","MOBILE INFORMATION SYSTEMS","2019","2","0.333","0.112","ZENG M, 2019, MOB INF SYS","1.000","0.000","0.000","0.000","students","0.018"
"10.1016/j.cam.2018.07.022","HUANG Z-G;WANG L-G;XU Z;CUI J-J","THE GENERALIZED DOUBLE STEPS SCALE-SOR ITERATION METHOD FOR SOLVING COMPLEX SYMMETRIC LINEAR SYSTEMS","JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS","2019","2","0.333","0.112","HUANG Z-G, 2019, J COMPUT APPL MATH","1.000","0.000","0.000","0.000","students","0.006"
"10.1155/2022/1702657","JIN Y","A SELF-ADAPTIVE RECOMMENDATION METHOD FOR ONLINE IDEOLOGICAL AND POLITICAL TEACHING RESOURCES BASED ON DEEP REINFORCEMENT LEARNING","MOBILE INFORMATION SYSTEMS","2022","1","0.333","0.794","JIN Y, 2022, MOB INF SYS","1.000","0.000","0.000","0.000","students","0.068"
